url,tags_a,tags_b,tags_c
national-association-of-latino-independent-producers-nalip,Creative economy,Workforce development,
students-run-la,Voting & civic engagement,Fitness & sports,
human-i-t,STEM & Digital literacy,Workforce development,
onejustice,Voting & civic engagement,,
inclusion-matters-by-shanes-inspiration,Disability & aging,Access to parks & green space,
novelly,Voting & civic engagement,Teaching & mentorship,
neighborhood-music-school,Art,Teaching & mentorship,
new-horizons-serving-individuals-with-special-needs,Disability & aging,Teaching & mentorship,Workforce development
changeist,Voting & civic engagement,Teaching & mentorship,
climate-resolve,Transportation,Climate change,
center-for-council-a-project-of-community-partners,Community gatherings,Mental & emotional health,
skirball-cultural-center,Art,Community gatherings,
startups-in-the-sky,Entrepreneurship & innovation,,
build-a-better-world-foundation,Teaching & mentorship,Art,
investing-in-place-a-project-of-community-partners,Transportation,Voting & civic engagement,Air & water
the-giving-spirit,Homelessness,,
walk-with-sally,Mental & emotional health,Teaching & mentorship,
literatea,Creative economy,,
plus-me-project,Teaching & mentorship,,
facing-history-and-ourselves,Teaching & mentorship,Voting & civic engagement,
boyle-heights-beat-radio-pulso,Creative economy,Teaching & mentorship,
altadena-library-district,Teaching & mentorship,,
l-a-works,Volunteerism,Voting & civic engagement,
living-through-giving-foundation,Access to healthy food,Volunteerism,Homelessness
ready-to-succeed,Teaching & mentorship,,
shared-studios-la-portal,Art,Community gatherings,
camp-lost-boys,Mental & emotional health,Community gatherings,
union-rescue-mission,Homelessness,,
breathe-california-of-los-angeles-county,Volunteerism,Air & water,
tia-chuchas-centro-cultural-bookstore,Community gatherings,Resiliency,Art
creative-healing-for-youth-in-pain,Community health,Teaching & mentorship,
everyoneon,Workforce development,Disability & aging,
heidi-duckler-dance,Art,Community gatherings,
ethosdna,Entrepreneurship & innovation,,
creative-acts,Teaching & mentorship,Art,
southern-california-curling-center,Fitness & sports,,
coalition-for-humane-immigrant-rights-chirla,Voting & civic engagement,,
the-music-center,Community gatherings,Art,
good-trouble-makers,Art,,
jewish-big-brothers-big-sisters-of-los-angeles,Teaching & mentorship,Mental & emotional health,
korean-american-family-services,Volunteerism,Mental & emotional health,
special-olympics-southern-california,Disability & aging,Fitness & sports,
inspiring-service,Voting & civic engagement,Volunteerism,
826la,Teaching & mentorship,Volunteerism,
arts-bridging-the-gap,Teaching & mentorship,Art,
indigenous-circle-of-wellness-sooh-shinálí-sister-project,Mental & emotional health,Art,
mighty-companions-inc,Volunteerism,,
insightla,Mental & emotional health,,
conscious-kids-project,Fitness & sports,Mental & emotional health,Disability & aging
kid-city-hope-place,Community gatherings,Art,
lasting-impressions-center,Mental & emotional health,Art,
la-forward,Voting & civic engagement,Resiliency,Affordable housing
sameside-inc,Community gatherings,,
union-station-homeless-services,Mental & emotional health,Homelessness,
voices-beyond-assault,Mental & emotional health,,
free-arts,Teaching & mentorship,Mental & emotional health,Art
social-cipher,Mental & emotional health,Disability & aging,
venice-family-clinic,Community health,Voting & civic engagement,
dressember,Volunteerism,,
international-eye-la,Community gatherings,Art,
civy-inc,Voting & civic engagement,Entrepreneurship & innovation,
the-foundation-for-living-beauty,Mental & emotional health,Community health,
citizens-of-culture,Mental & emotional health,Art,
resisterhoodla,Community health,Homelessness,
mirys-list,Mental & emotional health,Volunteerism,
friendship-foundation,Mental & emotional health,Disability & aging,Teaching & mentorship
trauma-informed-la-tila,Mental & emotional health,Community gatherings,
hacker-fund,Access to capital & benefits,Entrepreneurship & innovation,
project-equity-a-program-of-multiplier,Access to capital & benefits,Entrepreneurship & innovation,
bluereef-capital,Access to capital & benefits,,
venice-community-housing,Art,Affordable housing,Homelessness
la-plaza-de-cultura-y-artes,Art,Community gatherings,Access to healthy food
noun-project,Art,Creative economy,Teaching & mentorship
3-d-space,Art,,
los-angeles-center-of-photography,Art,,
la-sanitation-and-environment-la-industry,Climate change,Entrepreneurship & innovation,
saturday-night-bath-concert-fund,Community gatherings,Art,
convergence-creative-solutions,Community gatherings,,
red-hen-press,Creative economy,Art,
the-league-of-experiential-immersive-artists-leia,Creative economy,Community gatherings,
los-angeles-review-of-books,Creative economy,Workforce development,
respectability,Disability & aging,Workforce development,
codemarket,Entrepreneurship & innovation,Access to capital & benefits,
community-vitalization-council,Entrepreneurship & innovation,Access to capital & benefits,
entrepreneurship-advantage,Entrepreneurship & innovation,Access to capital & benefits,
grid110,Entrepreneurship & innovation,Access to capital & benefits,
mi-terro,Entrepreneurship & innovation,Air & water,
mockingbird-incubator,Entrepreneurship & innovation,Voting & civic engagement,
refoundry,Entrepreneurship & innovation,Workforce development,
smith-co-llc-dba-kolor-society,Entrepreneurship & innovation,Workforce development,
cal-state-l-a-university-auxiliary-services-inc,Entrepreneurship & innovation,,
hustle-hustle,Entrepreneurship & innovation,,
srmz-technologies,Entrepreneurship & innovation,,
startup-coil-llc,Entrepreneurship & innovation,,
peoples-yoga,Mental & emotional health,Fitness & sports,Workforce development
emile-cohl-art-academy,Teaching & mentorship,Workforce development,Creative economy
altasea-at-the-port-of-los-angeles,STEM & Digital literacy,Air & water,Workforce development
coop-careers,Teaching & mentorship,Creative economy,Workforce development
the-alliance-for-media-arts-culture,Teaching & mentorship,Creative economy,Workforce development
two-bit-circus-foundation,Teaching & mentorship,Creative economy,
creative-futures-collective,Teaching & mentorship,Workforce development,Creative economy
lost-angels-childrens-project,Teaching & mentorship,Workforce development,
youth-business-alliance,Teaching & mentorship,Workforce development,
connecting-cultures-mobile-museum,Teaching & mentorship,,
70-million-jobs,Workforce development,Access to capital & benefits,
national-association-of-latino-independent-producers-nalip,Workforce development,Art,
warehouse-tv,Workforce development,Disability & aging,
alliance-for-southern-california-innovation,Workforce development,Entrepreneurship & innovation,
the-rightway-foundation,Workforce development,Mental & emotional health,
las-fotos-project,Workforce development,Teaching & mentorship,Art
university-of-southern-california,Workforce development,Voting & civic engagement,
chrysalis,Workforce development,,
flintridge-center,Workforce development,,
truthseekers-inc,Workforce development,,
the-unusual-suspects-theatre-company,Teaching & mentorship,Art,
fostering-dreams-project,Art,Teaching & mentorship,
cheshire-moon,Creative economy,Workforce development,Art
college-moms-project,College prep,,
everydae,STEM & Digital literacy,College prep,
rediscover-center,Early childhood,STEM & Digital literacy,
center-for-powerful-public-schools,Teaching & mentorship,,
the-los-angeles-coalition,Workforce development,Teaching & mentorship,
gladeo,Climate change,Workforce development,
encorps-stem-teachers,STEM & Digital literacy,Teaching & mentorship,
los-angeles-audubon-society,Air & water,Teaching & mentorship,
after-school-all-stars-los-angeles,College prep,Teaching & mentorship,
junior-high-incorporated,Teaching & mentorship,Workforce development,Creative economy
new-village-girls-academy,College prep,Teaching & mentorship,
skyhook-foundation,STEM & Digital literacy,Access to parks & green space,
moste-motivating-our-students-through-experience,Workforce development,College prep,
operation-jump-start,College prep,,
saving-the-west-foundation,Access to parks & green space,Access to healthy food,
champs-charter-high-school-of-the-arts,College prep,Art,
ednovate,College prep,Teaching & mentorship,
little-kids-rock,Art,Teaching & mentorship,
believe-in-music,Art,Teaching & mentorship,
pueblo-nuevo-education-development-group,STEM & Digital literacy,Teaching & mentorship,
west-valley-boys-girls-club,College prep,Teaching & mentorship,
lasa-the-los-angeles-service-academy,Teaching & mentorship,Voting & civic engagement,
get-lit-words-ignite,Teaching & mentorship,College prep,Art
costsbeyondtuition-org,College prep,Access to capital & benefits,
dance-arts-foundation,College prep,Art,
fulcrum-arts,Teaching & mentorship,Art,
inner-city-arts,Art,Teaching & mentorship,
heart-of-los-angeles-hola,Teaching & mentorship,College prep,
santa-monica-college,College prep,Access to healthy food,
l-o-v-e-living-our-vision-everyday-foundation,Homelessness,Mental & emotional health,
the-literacy-club,Teaching & mentorship,,
pediatric-therapy-network,Early childhood,Mental & emotional health,
faithworks-compton,STEM & Digital literacy,Teaching & mentorship,
city-year-los-angeles,Teaching & mentorship,College prep,
southern-california-college-access-network,Teaching & mentorship,College prep,
america-scores-los-angeles,Fitness & sports,Teaching & mentorship,
reading-partners,Teaching & mentorship,,
writegirl-a-project-of-community-partners,Teaching & mentorship,,
two-bit-circus-foundation,STEM & Digital literacy,Teaching & mentorship,
college-access-plan,College prep,Teaching & mentorship,
education-through-music-los-angeles,Teaching & mentorship,Art,
the-boys-girls-clubs-of-santa-monica,Teaching & mentorship,,
children-now,Teaching & mentorship,,
novus-think-tank,Teaching & mentorship,,
freedom-and-fashion,Workforce development,Creative economy,Mental & emotional health
9-dots,STEM & Digital literacy,Teaching & mentorship,
fa-mli-inc,Teaching & mentorship,,
the-music-center,Disability & aging,Art,Community gatherings
refresh-youth-center,Teaching & mentorship,,
kids-coalition,Voting & civic engagement,Teaching & mentorship,
collegespring,College prep,,
crayon-collection,Art,Teaching & mentorship,
aim4theheart-org,Art,Mental & emotional health,
global-arts-corporation,Teaching & mentorship,Art,
access-books,Teaching & mentorship,Community gatherings,
ryman-arts,Teaching & mentorship,Art,
book-club-for-kids-podcast-a-project-of-community-partners,Teaching & mentorship,,
careers-in-entertainment,Teaching & mentorship,Creative economy,
circle-of-friends-the-path-to-inclusion,Disability & aging,Mental & emotional health,
united-friends-of-the-children,Teaching & mentorship,College prep,
turnaround-arts-california,Teaching & mentorship,Art,
alliance-college-ready-public-schools-foundation,Teaching & mentorship,Mental & emotional health,
the-young-shakespeareans-a-project-of-community-partners-a-501c3-non-profit-charity,Art,Teaching & mentorship,
larchmont-charter-school,Teaching & mentorship,,
