url,tags_a,tags_b,tags_c
rise-inc,Homelessness,College prep,Access to healthy food
projectart,Art,Teaching & mentorship,
womens-voices-now,Art,Creative economy,
bob-baker-marionette-theater,Art,Teaching & mentorship,
fulfillment-fund,College prep,,
new-earth,Teaching & mentorship,Community safety,
network-for-teaching-entrepreneurship-los-angeles-nfte-la,Entrepreneurship & innovation,Teaching & mentorship,
new-directions-for-youth,Teaching & mentorship,,
music-forward-foundation,Creative economy,Workforce development,Teaching & mentorship
the-actors-gang,Teaching & mentorship,Art,
social-emotional-wellness-initiative,Teaching & mentorship,Mental & emotional health,
friends-of-girls-academic-leadership-academy-gala,Teaching & mentorship,STEM & Digital literacy,
central-american-resource-center-carecen-of-california,College prep,Voting & civic engagement,
novus-think-tank,Access to healthy food,Affordable housing,
mother-jones,Voting & civic engagement,,
the-wellness-arts-collective,Mental & emotional health,,
san-pedro-meals-on-wheels,Access to healthy food,Community health,Disability & aging
homeplace-@-yjc,Affordable housing,Homelessness,
roots-wings-institute-of-social-and-emotional-learning,Mental & emotional health,,
lift-los-angeles,Access to capital & benefits,,
global-green-usa,Access to healthy food,Climate change,
the-dream-center-foundation,Access to healthy food,Community health,
providence-saint-johns-child-and-family-development-center,Access to parks & green space,Mental & emotional health,
onegeneration,Affordable housing,Homelessness,Disability & aging
peer-health-exchange,Mental & emotional health,Teaching & mentorship,
cleanslate,Mental & emotional health,Community health,
share-our-strength,Access to healthy food,,
environmental-health-coalition-ceja,Climate change,Air & water,
safe-place-for-youth-a-project-of-community-partners,Homelessness,Affordable housing,
valley-intercommunity-council,Access to healthy food,Disability & aging,
the-heart-touch-project,Community health,,
move-la-a-project-of-community-partners,Affordable housing,Air & water,
neighborhood-housing-services-of-los-angeles-county,Access to healthy food,Access to capital & benefits,
the-seachange-agency,Air & water,Teaching & mentorship,
international-association-for-human-values,Community safety,Mental & emotional health,
bread-head,Teaching & mentorship,Access to healthy food,Workforce development
southern-california-public-radio-kpcc-laist, Voting & civic engagement,,
zipmarket-app,Access to healthy food,,
huarache-farms-llc,Access to healthy food,Community health,
sprouts-of-promise-foundation,Access to healthy food,Community health,
urban-possibilities,Homelessness,Workforce development,
socal-350,Air & water,Climate change,
u-s-green-building-council-los-angeles,Air & water,Climate change,
clinica-msr-oscar-a-romero,Community health,Homelessness,
la-forward,Affordable housing,Homelessness,
crayon-collection-dba-habits-of-waste,Air & water,,
heal-the-bay,Air & water,,
abundant-housing-la,Affordable housing,Voting & civic engagement,
the-groundtruth-project-home-of-report-for-america,Voting & civic engagement,,
safe-parking-la-a-project-of-community-partners,Homelessness,,
united-parents-and-students,Access to healthy food,,
community-veteran-justice-project,Voting & civic engagement,Homelessness,Mental & emotional health
esperanza-community-housing-corporation,Community health,,
unycyn-civic-arts,STEM & Digital literacy,Access to healthy food,
teamtaub-llc,Access to capital & benefits,,
a-place-called-home,Mental & emotional health,Community health,
find-your-anchor,Mental & emotional health,,
cooperative-resources-and-services-project-crsp,Teaching & mentorship,Climate change,Access to healthy food
golden-state-opportunity,Access to capital & benefits,,
the-urban-homestead,Voting & civic engagement,Climate change,Resiliency
back-on-my-feet-los-angeles,Homelessness,Workforce development,
hollywood-food-coalition,Homelessness,Access to healthy food,
harvest-all-resource-center-harc,College prep,Mental & emotional health,
renovation-planners,Affordable housing,Access to capital & benefits,
jenesse-center-inc,Mental & emotional health,Community health,Community safety
vista-del-mar-child-and-family-services,Community health,Mental & emotional health,
the-midnight-mission,Homelessness,Mental & emotional health,
my-friends-house-inc,Access to healthy food,,
eleplate,Climate change,Access to healthy food,
young-invincibles,Access to healthy food,Community health,
social-and-environmental-entrepreneurs,Climate change,Air & water,
crop-swap-la,Access to healthy food,Workforce development,
kingdom-causes-bellflower,Homelessness,Workforce development,
los-angeles-room-board,College prep,Affordable housing,
information-and-referral-federation-of-la-county-dba-211-la,Homelessness,,
l-a-compost,Access to healthy food,Climate change,
alzheimers-los-angeles,Disability & aging,,
saban-community-clinic,Community health,Mental & emotional health,
strategic-actions-for-a-just-economy-saje,Homelessness,Affordable housing,
east-side-riders-bike-club,Transportation,Fitness & sports,
ethiopian-community-in-los-angeles-ecla,Fitness & sports,,
bicycle-kitchen-la-bicicocina,Transportation,,
malibu-foundation,Mental & emotional health,Fitness & sports,
the-urban-warehouse,Fitness & sports,Teaching & mentorship,
america-scores-los-angeles,Fitness & sports,Teaching & mentorship,
public-matters,Community safety,Transportation,
up2us-inc,Fitness & sports,,
harmony-project,Art,Community safety,
nature-for-all,Access to parks & green space,,
project-blue,STEM & Digital literacy,Fitness & sports,
harlem-lacrosse-los-angeles,Fitness & sports,Teaching & mentorship,
los-angeles-neighborhood-initiative-lani,Art,,
american-heart-association,Fitness & sports,Community safety,
los-angeles-dodgers-foundation,Fitness & sports,Access to parks & green space,
angel-city-alliance,Fitness & sports,Disability & aging,
los-angeles-maritime-institute,Fitness & sports,STEM & Digital literacy,
usc-price-center-for-social-innovation,Community safety,,
woodcraft-rangers,Fitness & sports,Access to parks & green space,STEM & Digital literacy
jail-guitar-doors,Art,Teaching & mentorship,
ciclavia,Voting & civic engagement,,
cedars-sinai-medical-center,Fitness & sports,Access to parks & green space,
pops-the-club,Mental & emotional health,Teaching & mentorship,
city-of-los-angeles-department-of-recreation-and-parks,Fitness & sports,Access to parks & green space,
everything-wellness,Fitness & sports,,
