url,tags_a,tags_b,tags_c
/9-dots/,STEM & Digital literacy,Teaching & mentorship,
/ahdom-sayre/,Access to parks & green space,,
/american-digital-diversity-initiative/,STEM & Digital literacy,Workforce development,
/american-heart-association/,Community health,Fitness & sports,
/bob-baker-marionette-theater/,Art,Creative economy,
/breathe-california-of-los-angeles-county/,Community health,Air & water,Climate change
/building-skills-partnership/,Workforce development,,
/b~stem-project-foundation/,STEM & Digital literacy,Workforce development,
/c-it-productions-llc/,Community safety,,
/cal-state-l-a-university-auxiliary-services-inc/,Entrepreneurship & innovation,Volunteerism,Voting & civic engagement
/california-center-for-economic-initiatives/,Art,,
/california-common-cause-naleo-educational-fund-disability-rights-california-and-asian-americans-advancing-justice-la/,Voting & civic engagement,,
/calmatters/,Voting & civic engagement,,
/circle-of-friends-the-path-to-inclusion-a-project-of-community-partners/,Disability & aging,Teaching & mentorship,
/climate-uprising-interconnected-media/,Climate change,Resiliency,
/community-veteran-justice-project/,Mental & emotional health,Community safety,
/community-vitalization-council/,Entrepreneurship & innovation,,
/creator-force-at-civic-nation/,Creative economy,Workforce development,
/deedly-inc/,Teaching & mentorship,Voting & civic engagement,
/defy-ventures-inc/,Workforce development,Entrepreneurship & innovation,Access to capital & benefits
/earios/,Creative economy,,
/equal-pay-company/,Workforce development,,
/esperanza-community-housing-healthy-breathing-program/,Community health,Affordable housing,
/everybody-world/,Creative economy,Entrepreneurship & innovation,
/foodcycle-la/,Access to healthy food,,
/freedom-and-fashion/,Creative economy,Workforce development,
/futureports/,Transportation,Entrepreneurship & innovation,
/getglobal-inc/,Entrepreneurship & innovation,Access to capital & benefits,
/gladeo/,Workforce development,STEM & Digital literacy,
/glendale-college-parent-education-association/,Early childhood,,
/green-girl-farms/,Access to parks & green space,Access to healthy food,
/h-i-p-through-science/,STEM & Digital literacy,,
/havasole/,Homelessness,Community health,Volunteerism
/housing-corporation-of-america/,Affordable housing,STEM & Digital literacy,
/human-i-t/,STEM & Digital literacy,,
/human-rights-foundation/,Art,Voting & civic engagement,
/hytch-llc/,Transportation,Air & water,
/in-the-making/,Community gatherings,Workforce development,
/infinity-studio-8/,Creative economy,,
/inspiring-service/,Volunteerism,,
/international-association-for-human-values/,Community safety,,
/international-visitors-council-of-los-angeles/,Voting & civic engagement,Community gatherings,
/joy-factory/,Creative economy,Community gatherings,
/justice-for-my-sister-collective/,Creative economy,Teaching & mentorship,
/living-through-giving-foundation/,Homelessness,,
/los-angeles-blockchain-lab/,STEM & Digital literacy,,
/los-angeles-conservation-corps/,Workforce development,Air & water,
/los-angeles-county-grand-park-foundation/,Access to parks & green space,Community gatherings,
/m2m-bell/,Entrepreneurship & innovation,,
/manifestworks/,Workforce development,Creative economy,
/mayors-fund-for-education-fiscal-sponsor-community-partners/,Early childhood,,
/move-la/,Transportation,Climate change,
/mrs-hr/,Homelessness,Workforce development,
/national-health-foundation/,Community health,,
/navel/,Creative economy,Art,Community gatherings
/new-earth/,Teaching & mentorship,Mental & emotional health,Community safety
/novelly/,Voting & civic engagement,STEM & Digital literacy,
/office-of-mayor-eric-garcetti-census-2020-initiative/,Voting & civic engagement,,
/onegeneration/,Disability & aging,,
/planned-parenthood-pasadena-and-san-gabriel-valley/,Community health,Mental & emotional health,
/plus-me-project/,Teaching & mentorship,,
/pop-culture-hero-coalition/,Mental & emotional health,Teaching & mentorship,
/procon-org/,Voting & civic engagement,,
/rebel-labs-inc/,Community health,Access to healthy food,
/rise-inc/,College prep,Voting & civic engagement,
/rock-the-vote/,Teaching & mentorship,Voting & civic engagement,
/root-down-la/,Access to healthy food,,
/santa-monica-college/,College prep,,
/scv-adventure-play-foundation/,Access to parks & green space,,
/sense-la/,Art,Voting & civic engagement,
/shared-harvest/,Volunteerism,,
/stoked-mentoring-inc/,Teaching & mentorship,Fitness & sports,
/the-abc-club/,Teaching & mentorship,,
/the-civics-center/,Voting & civic engagement,Teaching & mentorship,
/the-editorialist-la/,Creative economy,,
/the-fit-kids-foundation/,Fitness & sports,Teaching & mentorship,
/the-institution-for-art-and-olfaction/,Creative economy,,
/the-midnight-mission/,Homelessness,Mental & emotional health,
/the-regents-of-the-university-of-california-ucla-depression-grand-challenge/,Mental & emotional health,,
/the-tiyya-foundation/,Voting & civic engagement,,
/the-urban-warehouse/,Fitness & sports,Teaching & mentorship,
/tunson-leadership-foundation/,Disability & aging,Teaching & mentorship,
/turnaround-arts-california/,Art,Teaching & mentorship,
/unlitterla/,Air & water,Volunteerism,
/urban-encore-symphony-and-singers/,Mental & emotional health,Art,
/venice-community-housing/,Homelessness,Affordable housing,
/w-tenth-co/,Workforce development,Creative economy,
/women-in-film/,Workforce development,Creative economy,
/womens-center-for-creative-work/,Creative economy,Art,
/yes-we-can-world-foundation/,Teaching & mentorship,,
