url,ein,title,org_type
https://archive.la2050.org/kensington-presents,455635609,Kensington Presents,For profit business
https://archive.la2050.org/kitchen-table-app,821917647,Kitchen Table App,For profit business
https://archive.la2050.org/knucklebones,473411058,Knucklebones,For profit business
https://archive.la2050.org/kreative-images-foundation,954773494,Kreative Images Foundation,For profit business
https://archive.la2050.org/l-a-currents,454320808,L.A. Currents,For profit business
https://archive.la2050.org/la-loma-development-company,260139462,La Loma Development Company,For profit business
https://archive.la2050.org/la-river-public-art-project-c-o-erw-design,364519595,ERW Design,For profit business
https://archive.la2050.org/law-soup-inc,471443694,"Law Soup, Inc.",For profit business
https://archive.la2050.org/lawmaker-io,472178446,LawMaker,For profit business
https://archive.la2050.org/life-change-up,475212304,Life Change Up,For profit business
https://archive.la2050.org/local-roots,464783761,Local Roots,For profit business
https://archive.la2050.org/localism-inc,452177652,Localism Inc.,For profit business
https://archive.la2050.org/lola,301007192,LOLA,For profit business
https://archive.la2050.org/lola-techsystems-inc,472037575,"Lola Techsystems, Inc.",For profit business
https://archive.la2050.org/los-angeles-performance-practice,272756584,Los Angeles Performance Practice,For profit business
https://archive.la2050.org/los-angeles-trade-technical-college,952587353,Los Angeles Trade-Technical College,Government
https://archive.la2050.org/los-angeles-worlds-fair-fpc,462004059,"Los Angeles World's Fair, FPC",Government
https://archive.la2050.org/lumos-transforms,814833035,Lumos Transforms,For profit business
https://archive.la2050.org/m2m-bell,202090844,M2M Bell,For profit business
https://archive.la2050.org/massknowtify,463345611,MassKnowtify,For profit business
https://archive.la2050.org/mentormint,473621424,MentorMint,For profit business
https://archive.la2050.org/metrohealth-station-jefferson-park,384782470,MetroHealth Station - Jefferson Park,For profit business
https://archive.la2050.org/mia-lehrer-associates-la-mas-arid-lands-institute,270903202,"Mia Lehrer + Associates, LA-Mas, Arid Lands Institute",For profit business
https://archive.la2050.org/microenterprise-org,465504858,Microenterprise.org,For profit business
https://archive.la2050.org/millennial-magazine-apps4la,613480924,Millennial Magazine: Apps4LA,For profit business
https://archive.la2050.org/minds-on-fire,46225513,Minds on Fire,For profit business
https://archive.la2050.org/mloveizm-inc,452495405,MLoveizm Inc.,For profit business
https://archive.la2050.org/mountains-recreation-and-conservation-authority,770112367,Mountains Recreation and Conservation Authority,Government
https://archive.la2050.org/mrs-hr,272069479,MRS HR,For profit business
https://archive.la2050.org/musek,546674177,MUSEK,For profit business
https://archive.la2050.org/mushroom-learning,471078795,Mushroom Learning,For profit business
https://archive.la2050.org/mutuo,454105869,Mutuo,For profit business
https://archive.la2050.org/my-name-my-story,300572278,My Name My Story,For profit business
https://archive.la2050.org/national-park-service,841024566,National Park Service,Government
https://archive.la2050.org/nationbuilder,352315659,NationBuilder,For profit business
https://archive.la2050.org/nativ,102649365,Nativ,For profit business
