url,tags_a,tags_b,tags_c
los-angeles-neighborhood-land-trust,Access to parks & green space,Community health,
lovs,Mental & emotional health,Resiliency,
lynsteb-inc,Disability & aging,Transportation,
maxwell-vehicles-llc,Transportation,Climate change,
mels-love-land,Community gatherings,Mental & emotional health,
mend-family-acupuncture-and-healthcare,Community health,Resiliency,
mint-inc,Entrepreneurship & innovation,Access to capital & benefits,
moceanlab-inc,Creative economy,Transportation,
multiplicity-table-for-ten,Workforce development,Access to capital & benefits,
muralism,Disability & aging,Art,
mychals-learning-place,Disability & aging,Teaching & mentorship,
nami-sgv-national-alliance-of-mental-illness-san-gabriel-valley,Mental & emotional health,Community health,
national-association-of-latino-independent-producers,Creative economy,Teaching & mentorship,
neighborhood-music-school-association,Art,Teaching & mentorship,
network-for-teaching-entrepreneurship-los-angeles-metro,Entrepreneurship & innovation,Workforce development,
new-musicals-inc,Art,Creative economy,Teaching & mentorship
next-for-me,Teaching & mentorship,,
now-art,Community gatherings,Art,
nuleep,STEM & Digital literacy,Teaching & mentorship,
olasteo,Teaching & mentorship,Community gatherings,
on-the-go-la,Entrepreneurship & innovation,Access to capital & benefits,
optimist-youth-homes-family-services,Mental & emotional health,Community health,
our-house-grief-support-center,Mental & emotional health,Community health,
pacific-film-foundation,Art,Mental & emotional health,
pacific-urbanism,Climate change,,
paige-blu-industries-inc,Workforce development,Entrepreneurship & innovation,
parent-family-engagement-and-community-services,STEM & Digital literacy,College prep,Teaching & mentorship
path-people-assisting-the-homeless,Affordable housing,Homelessness,
pebsaf,College prep,Teaching & mentorship,
peoples-pottery-project,Workforce development,Creative economy,Art
powermylearning,STEM & Digital literacy,Teaching & mentorship,
pride-in-truth,Workforce development,Community health,
project-camp,Resiliency,Community safety,Volunteerism
project-giving-kids,Community gatherings,Volunteerism,
project-joy,Workforce development,Creative economy,
project-ropa,Climate change,Community health,Workforce development
rainbow-labs-empowering-lgbtq-youth-one-lab-at-a-time,Teaching & mentorship,Entrepreneurship & innovation,
reading-partners-los-angeles,Teaching & mentorship,,
reel-start,Teaching & mentorship,Art,
regarding-her,Workforce development,Teaching & mentorship,
resilient-agency,Workforce development,,
rewilder,Climate change,Entrepreneurship & innovation,
rivet-school,Workforce development,College prep,
ruckusroots,Access to healthy food,Community health,
rush-inc,Entrepreneurship & innovation,,
san-fernando-valley-audubon-society,Disability & aging,Access to parks & green space,
san-gabriel-valley-lgbtq-center,Mental & emotional health,Community safety,
sankofacity,Transportation,Climate change,
santa-monica-college-foundation,Access to healthy food,Mental & emotional health,
santa-monica-museum-of-art-dba-institute-of-contemporary-art-los-angeles,Art,Creative economy,Workforce development
sbcc,Volunteerism,,
scga-foundation,Fitness & sports,Teaching & mentorship,
seed-consulting-group,Workforce development,Volunteerism,
sensagrate,Transportation,Community safety,
sloane-stephens-foundation,Fitness & sports,Teaching & mentorship,
social-justice-league,Art,Workforce development,
social-model-recovery-systems-inc,Community health,Mental & emotional health,
sola-i-can-foundation,Workforce development,Entrepreneurship & innovation,
south-central-lamp,Early childhood,Mental & emotional health,
southern-california-committee-for-the-olympic-games,Fitness & sports,Community gatherings,
sowing-seeds-of-change,Access to healthy food,Workforce development,
sprouts-of-promise,Access to healthy food,Community health,
stepping-forward-la,Teaching & mentorship,Workforce development,
street-simplified-llc,Community safety,Transportation,
street-soccer-usa,Fitness & sports,Workforce development,
tackle-young-foundation,Entrepreneurship & innovation,Teaching & mentorship,
teen-talk-app-jewish-big-brother-big-sister-los-angeles,Mental & emotional health,Community health,
textile-arts-los-angeles,Art,Community gatherings,
thai-fan-meet-usa,Community gatherings,,
the-3-lines-collective,Mental & emotional health,Teaching & mentorship,
the-birth-equity-advocacy-project-a-program-of-causes-to-care-about,Community health,,
the-center-in-hollywood,Homelessness,Mental & emotional health,
the-friendship-foundation,Teaching & mentorship,Disability & aging,
the-hero-coalition,Mental & emotional health,Community health,
the-jizo-foundation,Mental & emotional health,Art,
the-little-angels-project,Community health,,
the-makers-hub,Workforce development,Entrepreneurship & innovation,
the-niles-foundation-la,Access to healthy food,Access to parks & green space,Climate change
the-right-kind-of-black-girl-inc,Access to capital & benefits,Mental & emotional health,
the-salt-eaters-bookshop,Workforce development,Art,
the-seed-school-of-los-angeles-county,Teaching & mentorship,College prep,
the-stella-adler-academy-of-acting-and-theatre,Art,Creative economy,
the-surf-bus-foundation,Fitness & sports,,
the-why-lab,Community gatherings,,
the-wildwoods-foundation,Volunteerism,,
thrive-way-inc,Mental & emotional health,,
todo-verde,Access to healthy food,,
tree-of-life-child-and-family-services,Mental & emotional health,Fitness & sports,
treepeople-inc,Climate change,Access to parks & green space,
ubu-holdings-inc,Access to capital & benefits,Entrepreneurship & innovation,
ucla-unicamp,Volunteerism,,
ucla-volunteer-center,Volunteerism,,
undergraduate-gerontology-and-alzheimers-disease-awareness-association-dba-the-youth-movement-against-alzheimers,Disability & aging,Mental & emotional health,Volunteerism
up2us-sports,Fitness & sports,Teaching & mentorship,
urban-peace-institute,Community safety,Access to parks & green space,
urbanpromise-los-angeles,Teaching & mentorship,,
venice-arts,Creative economy,Teaching & mentorship,Workforce development
venice-institute-of-contemporary-art,Teaching & mentorship,Art,Creative economy
village-arts,Art,Teaching & mentorship,
village-for-vets,Homelessness,Mental & emotional health,Community health
vision-to-learn,Community health,,
watts-labor-community-action-committee-wlcac,Climate change,Workforce development,Access to healthy food
we-are-enough-fiscal-sponsor-community-ventures,Entrepreneurship & innovation,Access to capital & benefits,Workforce development
we-can-foundation,Mental & emotional health,Community health,
western-center-on-law-poverty,Affordable housing,Community health,
westside-pacific-villages,Disability & aging,Mental & emotional health,
will-geers-theatricum-botanicum,Art,Community gatherings,
worcs-worker-ownership-resources-and-cooperative-services,Workforce development,Entrepreneurship & innovation,
world-harvest-charities-and-family-services,Access to healthy food,,
wrkz-inc,Creative economy,Mental & emotional health,Workforce development
youth-emerging-stronger-formerly-los-angeles-youth-network,Homelessness,Mental & emotional health,
ywca-of-the-harbor-area,Access to healthy food,Community health,
