neighborhood,zip
Acton,93510
Agoura Hills,91301
Agoura Hills (PO Boxes),91376
Agua Dulce,91390
Alhambra,"91801, 91803"
Alhambra (Non-Geographic Zip Code Within 91801),91804
Alhambra (PO Boxes),"91802, 91896, 91899"
Altadena,91001
Altadena (PO Boxes),91003
Americana at Brand & Glendale Galleria (Glendale),91210
Arcadia,"91006, 91007"
Arcadia (PO Boxes),"91066, 91077"
Arleta (Los Angeles),91331
Arlington Heights (Los Angeles),90019
Artesia,90701
Artesia (PO Boxes),90702
Athens,90044
Atwater Village (Los Angeles),90039
Avalon (PO Boxes),90704
Avocado Heights,91746
Azusa,"91010, 91702"
Baldwin Hills (Los Angeles),90008
Baldwin Park,91706
Bassett,91746
Bel Air Estates (Los Angeles),90049
"Bel Air Estates, Beverly Glen (Los Angeles)",90077
Bell,"90201, 90270"
Bell (PO Boxes),90202
Bell (Shared Firms),90096
Bell Canyon,91307
Bell Gardens,90201
Bell Gardens (PO Boxes),90202
Bellflower,90706
Bellflower (PO Boxes),90707
Belmont Shore (Long Beach),90803
Belmont Shore (PO Boxes) (Long Beach),90853
"Beverly Glen, Bel Air Estates (Los Angeles)",90077
Beverly Hills,"90210, 90211, 90212"
Beverly Hills (PO Boxes),"90209, 90213"
Biola University (La Mirada),90639
Bixby Knolls (Long Beach),90807
Bouquet Canyon,91350
Box Canyon,91304
Boyle Heights (Los Angeles),"90033, 90063"
Bradbury,"91008, 91010"
Brentwood (Los Angeles),90049
Burbank,"91501, 91502, 91505, 91506"
Burbank (Burbank Studios),91522
Burbank (Glenoaks),91504
Burbank (PO Boxes),"91503, 91507, 91508, 91510"
Burbank (Walt Disney Co),"91521, 91526"
Burbank Studios (Burbank),"91522, 91523"
Bureau of the Census (Pomona),91797
Byzantine-Latino Quarter (Los Angeles),90006
Calabasas,91302
California Institute of Technology (Pasadena),"91125, 91126"
California State Univ Long Beach (Long Beach),90840
California State Univ Northridge (Los Angeles),91330
Camino College (Torrance),90506
Canoga Park (Los Angeles),"91303, 91304"
Canoga Park (PO Boxes) (Los Angeles),"91305, 91308, 91309"
Canyon Country (PO Boxes) (Santa Clarita),91386
Canyon Country (Santa Clarita),"91351, 91387"
Carson,"90745, 90746, 90810"
Carson (California State Univ Dominguez Hills),90747
Carson (Lakeshore Learning),90895
Carson (PO Boxes),90749
Castaic,"91310, 91384"
Castaic Valley (Santa Clarita PO),91383
Catalina Island (PO Boxes),90704
Castellemare (Los Angeles),90272
Century City (Los Angeles),90067
Cerritos,90703
Charter Oak,91724
Chatsworth (Los Angeles),91311
Chatsworth (PO Boxes) (Los Angeles),91313
Cheviot Hills (Los Angeles),90064
Chinatown (Los Angeles),90012
Chinatown (PO Boxes) (Los Angeles),"90030, 90086, 90087"
Citibank (Los Angeles),90189
City Ranch,93551
City Terrace,90063
Claremont,91711
"Commerce, City of",90040
Commerce (PO Boxes),90091
"Commerce, East Los Angeles",90023
Compton,"90220, 90221, 90222, 90224"
Compton (PO Boxes),90223
Cornell,91301
Country Club Park (Los Angeles),90019
Covina,"91722, 91723, 91724"
Crenshaw (Los Angeles),90008
Crystalaire,93544
Cudahy,90201
Culver City,"90066, 90230, 90232"
Culver City (PO Boxes),"90231, 90233"
Cypress Park (Los Angeles),90065
Del Sur,93536
Diamond Bar,"91765, 91789"
Dominguez,90810
Downey,"90240, 90241, 90242"
Downey (PO Boxes),90239
Downtown Arts District (Los Angeles),"90012, 90014"
